family,feature_set_id,feature_set_label,features,target_id,target,target_title,model,model_label,validation,n,mae,rmse,r2
formulation,formulation,formulation only,"yp_pct,xanthan_pct",Gp1Hz,log10_Gp_1Hz,$G'$ at 1 Hz,GPR_Matern_ARD,GPR-Matern-ARD,Internal balanced 5-fold CV,30,0.12892868317307618,0.16329607036413737,0.9791600249991871
formulation,formulation,formulation only,"yp_pct,xanthan_pct",Gp1Hz,log10_Gp_1Hz,$G'$ at 1 Hz,GPR_Matern_ARD,GPR-Matern-ARD,External validation,8,0.14549827258172152,0.17028816637477917,0.9558954167131094
formulation,formulation,formulation only,"yp_pct,xanthan_pct",Gp1Hz,log10_Gp_1Hz,$G'$ at 1 Hz,KernelRidge_RBF,KRR-RBF,Internal balanced 5-fold CV,30,0.26452026934478556,0.3809157166390442,0.8866024921167094
formulation,formulation,formulation only,"yp_pct,xanthan_pct",Gp1Hz,log10_Gp_1Hz,$G'$ at 1 Hz,KernelRidge_RBF,KRR-RBF,External validation,8,0.13853502439923604,0.1675230689351915,0.9573161066840001
formulation,formulation,formulation only,"yp_pct,xanthan_pct",Gp1Hz,log10_Gp_1Hz,$G'$ at 1 Hz,SVR_RBF,SVR-RBF,Internal balanced 5-fold CV,30,0.16503696143830834,0.24621398849303877,0.9526226055210011
formulation,formulation,formulation only,"yp_pct,xanthan_pct",Gp1Hz,log10_Gp_1Hz,$G'$ at 1 Hz,SVR_RBF,SVR-RBF,External validation,8,0.17574449329040787,0.21576731256908122,0.9291913866612344
formulation,formulation,formulation only,"yp_pct,xanthan_pct",Gp1Hz,log10_Gp_1Hz,$G'$ at 1 Hz,Ridge,Ridge,Internal balanced 5-fold CV,30,0.47043500346277006,0.5703186772670114,0.7457968575501441
formulation,formulation,formulation only,"yp_pct,xanthan_pct",Gp1Hz,log10_Gp_1Hz,$G'$ at 1 Hz,Ridge,Ridge,External validation,8,0.22558600910397344,0.26863793768062705,0.8902386413089164
formulation,formulation,formulation only,"yp_pct,xanthan_pct",Gp1Hz,log10_Gp_1Hz,$G'$ at 1 Hz,XGBoost,XGBoost,Internal balanced 5-fold CV,30,0.17938356776174894,0.2245194929893487,0.9606038455206989
formulation,formulation,formulation only,"yp_pct,xanthan_pct",Gp1Hz,log10_Gp_1Hz,$G'$ at 1 Hz,XGBoost,XGBoost,External validation,8,0.41841163478237153,0.48615408255165204,0.6405299937951106
formulation,formulation,formulation only,"yp_pct,xanthan_pct",Gp1Hz,log10_Gp_1Hz,$G'$ at 1 Hz,ExtraTrees,Extra Trees,Internal balanced 5-fold CV,30,0.19646143198433777,0.2505837466476208,0.9509259927380175
formulation,formulation,formulation only,"yp_pct,xanthan_pct",Gp1Hz,log10_Gp_1Hz,$G'$ at 1 Hz,ExtraTrees,Extra Trees,External validation,8,0.17115082968820045,0.1971326131391879,0.9408939764439335
formulation,formulation,formulation only,"yp_pct,xanthan_pct",Gp1Hz,log10_Gp_1Hz,$G'$ at 1 Hz,RandomForest,Random forest,Internal balanced 5-fold CV,30,0.22673249006778864,0.2706965199858799,0.9427321246093487
formulation,formulation,formulation only,"yp_pct,xanthan_pct",Gp1Hz,log10_Gp_1Hz,$G'$ at 1 Hz,RandomForest,Random forest,External validation,8,0.40467693396136517,0.4870345322406964,0.6392267779586946
formulation,formulation,formulation only,"yp_pct,xanthan_pct",Gp1Hz,log10_Gp_1Hz,$G'$ at 1 Hz,GradientBoosting,Gradient boosting,Internal balanced 5-fold CV,30,0.1395865464083655,0.17035060459971604,0.9773205204226636
formulation,formulation,formulation only,"yp_pct,xanthan_pct",Gp1Hz,log10_Gp_1Hz,$G'$ at 1 Hz,GradientBoosting,Gradient boosting,External validation,8,0.41337043243157323,0.46911116812355774,0.6652918175504252
formulation,formulation,formulation only,"yp_pct,xanthan_pct",eta50,log10_eta_50,$\eta_{50}$,GPR_Matern_ARD,GPR-Matern-ARD,Internal balanced 5-fold CV,30,0.035745637937639456,0.044968589134601826,0.9924907099819982
formulation,formulation,formulation only,"yp_pct,xanthan_pct",eta50,log10_eta_50,$\eta_{50}$,GPR_Matern_ARD,GPR-Matern-ARD,External validation,8,0.0865101195991636,0.09523974072988074,0.942010501704486
formulation,formulation,formulation only,"yp_pct,xanthan_pct",eta50,log10_eta_50,$\eta_{50}$,KernelRidge_RBF,KRR-RBF,Internal balanced 5-fold CV,30,0.14466604442810121,0.22130743875119263,0.8181252633029658
formulation,formulation,formulation only,"yp_pct,xanthan_pct",eta50,log10_eta_50,$\eta_{50}$,KernelRidge_RBF,KRR-RBF,External validation,8,0.07442669985147793,0.0894515277702478,0.9488449554387017
formulation,formulation,formulation only,"yp_pct,xanthan_pct",eta50,log10_eta_50,$\eta_{50}$,SVR_RBF,SVR-RBF,Internal balanced 5-fold CV,30,0.07664874954526003,0.10045668568517581,0.9625253103568572
formulation,formulation,formulation only,"yp_pct,xanthan_pct",eta50,log10_eta_50,$\eta_{50}$,SVR_RBF,SVR-RBF,External validation,8,0.09179376729705241,0.10821683872477794,0.9251308972497903
formulation,formulation,formulation only,"yp_pct,xanthan_pct",eta50,log10_eta_50,$\eta_{50}$,Ridge,Ridge,Internal balanced 5-fold CV,30,0.12499666727544857,0.1526086773697958,0.9135153941598296
formulation,formulation,formulation only,"yp_pct,xanthan_pct",eta50,log10_eta_50,$\eta_{50}$,Ridge,Ridge,External validation,8,0.08071926155659154,0.1093439404871744,0.9235632199239177
formulation,formulation,formulation only,"yp_pct,xanthan_pct",eta50,log10_eta_50,$\eta_{50}$,XGBoost,XGBoost,Internal balanced 5-fold CV,30,0.07332809070017972,0.08813909366058549,0.9711518801124491
formulation,formulation,formulation only,"yp_pct,xanthan_pct",eta50,log10_eta_50,$\eta_{50}$,XGBoost,XGBoost,External validation,8,0.20727034637389224,0.22809555339649173,0.6673813622821854
formulation,formulation,formulation only,"yp_pct,xanthan_pct",eta50,log10_eta_50,$\eta_{50}$,ExtraTrees,Extra Trees,Internal balanced 5-fold CV,30,0.13265143958330322,0.15727828211055422,0.908141813457534
formulation,formulation,formulation only,"yp_pct,xanthan_pct",eta50,log10_eta_50,$\eta_{50}$,ExtraTrees,Extra Trees,External validation,8,0.07741834782185841,0.09436789484901417,0.943067339861595
formulation,formulation,formulation only,"yp_pct,xanthan_pct",eta50,log10_eta_50,$\eta_{50}$,RandomForest,Random forest,Internal balanced 5-fold CV,30,0.14898483241831795,0.1741643252113715,0.8873584140517572
formulation,formulation,formulation only,"yp_pct,xanthan_pct",eta50,log10_eta_50,$\eta_{50}$,RandomForest,Random forest,External validation,8,0.19806863443322073,0.2163294993192743,0.700811819410395
formulation,formulation,formulation only,"yp_pct,xanthan_pct",eta50,log10_eta_50,$\eta_{50}$,GradientBoosting,Gradient boosting,Internal balanced 5-fold CV,30,0.0839373222528746,0.09650450649066886,0.9654159745674403
formulation,formulation,formulation only,"yp_pct,xanthan_pct",eta50,log10_eta_50,$\eta_{50}$,GradientBoosting,Gradient boosting,External validation,8,0.21280494196542468,0.2292582708259208,0.663981671325362
formulation,formulation,formulation only,"yp_pct,xanthan_pct",break_stress,log10_break_stress_Pa,Breaking stress,GPR_Matern_ARD,GPR-Matern-ARD,Internal balanced 5-fold CV,30,0.07353809284076399,0.09777318877729065,0.9683242260187493
formulation,formulation,formulation only,"yp_pct,xanthan_pct",break_stress,log10_break_stress_Pa,Breaking stress,GPR_Matern_ARD,GPR-Matern-ARD,External validation,8,0.08332810270678359,0.12569833051330717,0.8713983132585426
formulation,formulation,formulation only,"yp_pct,xanthan_pct",break_stress,log10_break_stress_Pa,Breaking stress,KernelRidge_RBF,KRR-RBF,Internal balanced 5-fold CV,30,0.14371950249476478,0.2048798544112016,0.8609131119935162
formulation,formulation,formulation only,"yp_pct,xanthan_pct",break_stress,log10_break_stress_Pa,Breaking stress,KernelRidge_RBF,KRR-RBF,External validation,8,0.07455650880565579,0.12787197173889978,0.8669121621661766
formulation,formulation,formulation only,"yp_pct,xanthan_pct",break_stress,log10_break_stress_Pa,Breaking stress,SVR_RBF,SVR-RBF,Internal balanced 5-fold CV,30,0.07756255932347854,0.11750420225931373,0.9542496444832697
formulation,formulation,formulation only,"yp_pct,xanthan_pct",break_stress,log10_break_stress_Pa,Breaking stress,SVR_RBF,SVR-RBF,External validation,8,0.08535562133022545,0.12066142799132683,0.8814983036718125
formulation,formulation,formulation only,"yp_pct,xanthan_pct",break_stress,log10_break_stress_Pa,Breaking stress,Ridge,Ridge,Internal balanced 5-fold CV,30,0.22680522732833186,0.31298452767993973,0.6754112868817674
formulation,formulation,formulation only,"yp_pct,xanthan_pct",break_stress,log10_break_stress_Pa,Breaking stress,Ridge,Ridge,External validation,8,0.13069136768426903,0.17003360556930902,0.7646809025464453
formulation,formulation,formulation only,"yp_pct,xanthan_pct",break_stress,log10_break_stress_Pa,Breaking stress,XGBoost,XGBoost,Internal balanced 5-fold CV,30,0.16789859141072933,0.227029034097183,0.829214703007015
formulation,formulation,formulation only,"yp_pct,xanthan_pct",break_stress,log10_break_stress_Pa,Breaking stress,XGBoost,XGBoost,External validation,8,0.18970584394525344,0.2584048967722441,0.45651304518502067
formulation,formulation,formulation only,"yp_pct,xanthan_pct",break_stress,log10_break_stress_Pa,Breaking stress,ExtraTrees,Extra Trees,Internal balanced 5-fold CV,30,0.12476067422380378,0.17774752427679255,0.8953125075630409
formulation,formulation,formulation only,"yp_pct,xanthan_pct",break_stress,log10_break_stress_Pa,Breaking stress,ExtraTrees,Extra Trees,External validation,8,0.08952943175437852,0.12063704832968573,0.8815461854090643
formulation,formulation,formulation only,"yp_pct,xanthan_pct",break_stress,log10_break_stress_Pa,Breaking stress,RandomForest,Random forest,Internal balanced 5-fold CV,30,0.13862456646363375,0.17792911531141084,0.8950984959099431
formulation,formulation,formulation only,"yp_pct,xanthan_pct",break_stress,log10_break_stress_Pa,Breaking stress,RandomForest,Random forest,External validation,8,0.16253531050771342,0.2561394732718644,0.466000721893727
formulation,formulation,formulation only,"yp_pct,xanthan_pct",break_stress,log10_break_stress_Pa,Breaking stress,GradientBoosting,Gradient boosting,Internal balanced 5-fold CV,30,0.10356023569778909,0.14215263361771716,0.9330427672270932
formulation,formulation,formulation only,"yp_pct,xanthan_pct",break_stress,log10_break_stress_Pa,Breaking stress,GradientBoosting,Gradient boosting,External validation,8,0.16316422138759673,0.23871576188675267,0.5361796100530553
formulation,formulation,formulation only,"yp_pct,xanthan_pct",break_strain,break_strain_pct,Breaking strain,GPR_Matern_ARD,GPR-Matern-ARD,Internal balanced 5-fold CV,30,9.733756774303242,11.728922648682799,0.9083568597912737
formulation,formulation,formulation only,"yp_pct,xanthan_pct",break_strain,break_strain_pct,Breaking strain,GPR_Matern_ARD,GPR-Matern-ARD,External validation,8,23.109610212409294,25.608993485259607,-0.3198134609397816
formulation,formulation,formulation only,"yp_pct,xanthan_pct",break_strain,break_strain_pct,Breaking strain,KernelRidge_RBF,KRR-RBF,Internal balanced 5-fold CV,30,11.053818872738086,14.40045314564672,0.8618547251729999
formulation,formulation,formulation only,"yp_pct,xanthan_pct",break_strain,break_strain_pct,Breaking strain,KernelRidge_RBF,KRR-RBF,External validation,8,24.589877529482074,28.10303670040175,-0.5894030250463034
formulation,formulation,formulation only,"yp_pct,xanthan_pct",break_strain,break_strain_pct,Breaking strain,SVR_RBF,SVR-RBF,Internal balanced 5-fold CV,30,20.252202511528232,24.6978761821963,0.5936475000739863
formulation,formulation,formulation only,"yp_pct,xanthan_pct",break_strain,break_strain_pct,Breaking strain,SVR_RBF,SVR-RBF,External validation,8,18.050341385993597,20.38243762320815,0.16393551022892094
formulation,formulation,formulation only,"yp_pct,xanthan_pct",break_strain,break_strain_pct,Breaking strain,Ridge,Ridge,Internal balanced 5-fold CV,30,11.39741969730525,13.646746016348125,0.8759370980504553
formulation,formulation,formulation only,"yp_pct,xanthan_pct",break_strain,break_strain_pct,Breaking strain,Ridge,Ridge,External validation,8,19.65830403127061,22.220601666745953,0.006336899985837641
formulation,formulation,formulation only,"yp_pct,xanthan_pct",break_strain,break_strain_pct,Breaking strain,XGBoost,XGBoost,Internal balanced 5-fold CV,30,8.437555271911622,11.237784709086235,0.9158711149549073
formulation,formulation,formulation only,"yp_pct,xanthan_pct",break_strain,break_strain_pct,Breaking strain,XGBoost,XGBoost,External validation,8,30.454635734558106,35.881500068511556,-1.5910077741415276
formulation,formulation,formulation only,"yp_pct,xanthan_pct",break_strain,break_strain_pct,Breaking strain,ExtraTrees,Extra Trees,Internal balanced 5-fold CV,30,9.119274976851797,10.951540932455938,0.920102318080267
formulation,formulation,formulation only,"yp_pct,xanthan_pct",break_strain,break_strain_pct,Breaking strain,ExtraTrees,Extra Trees,External validation,8,20.049223302083476,22.144832879838813,0.013101819094251121
formulation,formulation,formulation only,"yp_pct,xanthan_pct",break_strain,break_strain_pct,Breaking strain,RandomForest,Random forest,Internal balanced 5-fold CV,30,9.600889919430402,11.519160383107607,0.9116054746840798
formulation,formulation,formulation only,"yp_pct,xanthan_pct",break_strain,break_strain_pct,Breaking strain,RandomForest,Random forest,External validation,8,28.4083979769496,33.514085310658686,-1.2603842670982695
formulation,formulation,formulation only,"yp_pct,xanthan_pct",break_strain,break_strain_pct,Breaking strain,GradientBoosting,Gradient boosting,Internal balanced 5-fold CV,30,9.620292468465474,11.364240834319293,0.9139670973939721
formulation,formulation,formulation only,"yp_pct,xanthan_pct",break_strain,break_strain_pct,Breaking strain,GradientBoosting,Gradient boosting,External validation,8,31.851223194012633,38.21628947902873,-1.939169079154262
laos,formulation,formulation,"yp_pct,xanthan_pct",break_stress,log10_break_stress_Pa,LAOS breaking stress,GPR_Matern_ARD,GPR-Matern-ARD,Internal balanced 5-fold CV,30,0.07353809284076399,0.09777318877729065,0.9683242260187493
laos,formulation,formulation,"yp_pct,xanthan_pct",break_stress,log10_break_stress_Pa,LAOS breaking stress,GPR_Matern_ARD,GPR-Matern-ARD,External validation,8,0.08332810270678359,0.12569833051330717,0.8713983132585426
laos,formulation,formulation,"yp_pct,xanthan_pct",break_stress,log10_break_stress_Pa,LAOS breaking stress,KernelRidge_RBF,KRR-RBF,Internal balanced 5-fold CV,30,0.14371950249476478,0.2048798544112016,0.8609131119935162
laos,formulation,formulation,"yp_pct,xanthan_pct",break_stress,log10_break_stress_Pa,LAOS breaking stress,KernelRidge_RBF,KRR-RBF,External validation,8,0.07455650880565579,0.12787197173889978,0.8669121621661766
laos,formulation,formulation,"yp_pct,xanthan_pct",break_stress,log10_break_stress_Pa,LAOS breaking stress,SVR_RBF,SVR-RBF,Internal balanced 5-fold CV,30,0.07756255932347854,0.11750420225931373,0.9542496444832697
laos,formulation,formulation,"yp_pct,xanthan_pct",break_stress,log10_break_stress_Pa,LAOS breaking stress,SVR_RBF,SVR-RBF,External validation,8,0.08535562133022545,0.12066142799132683,0.8814983036718125
laos,formulation,formulation,"yp_pct,xanthan_pct",break_stress,log10_break_stress_Pa,LAOS breaking stress,Ridge,Ridge,Internal balanced 5-fold CV,30,0.22680522732833186,0.31298452767993973,0.6754112868817674
laos,formulation,formulation,"yp_pct,xanthan_pct",break_stress,log10_break_stress_Pa,LAOS breaking stress,Ridge,Ridge,External validation,8,0.13069136768426903,0.17003360556930902,0.7646809025464453
laos,formulation,formulation,"yp_pct,xanthan_pct",break_stress,log10_break_stress_Pa,LAOS breaking stress,XGBoost,XGBoost,Internal balanced 5-fold CV,30,0.16789859141072933,0.227029034097183,0.829214703007015
laos,formulation,formulation,"yp_pct,xanthan_pct",break_stress,log10_break_stress_Pa,LAOS breaking stress,XGBoost,XGBoost,External validation,8,0.18970584394525344,0.2584048967722441,0.45651304518502067
laos,formulation,formulation,"yp_pct,xanthan_pct",break_stress,log10_break_stress_Pa,LAOS breaking stress,ExtraTrees,Extra Trees,Internal balanced 5-fold CV,30,0.12476067422380378,0.17774752427679255,0.8953125075630409
laos,formulation,formulation,"yp_pct,xanthan_pct",break_stress,log10_break_stress_Pa,LAOS breaking stress,ExtraTrees,Extra Trees,External validation,8,0.08952943175437852,0.12063704832968573,0.8815461854090643
laos,formulation,formulation,"yp_pct,xanthan_pct",break_stress,log10_break_stress_Pa,LAOS breaking stress,RandomForest,Random forest,Internal balanced 5-fold CV,30,0.13862456646363375,0.17792911531141084,0.8950984959099431
laos,formulation,formulation,"yp_pct,xanthan_pct",break_stress,log10_break_stress_Pa,LAOS breaking stress,RandomForest,Random forest,External validation,8,0.16253531050771342,0.2561394732718644,0.466000721893727
laos,formulation,formulation,"yp_pct,xanthan_pct",break_stress,log10_break_stress_Pa,LAOS breaking stress,GradientBoosting,Gradient boosting,Internal balanced 5-fold CV,30,0.10356023569778909,0.14215263361771716,0.9330427672270932
laos,formulation,formulation,"yp_pct,xanthan_pct",break_stress,log10_break_stress_Pa,LAOS breaking stress,GradientBoosting,Gradient boosting,External validation,8,0.16316422138759673,0.23871576188675267,0.5361796100530553
laos,formulation,formulation,"yp_pct,xanthan_pct",break_strain,break_strain_pct,LAOS breaking strain,GPR_Matern_ARD,GPR-Matern-ARD,Internal balanced 5-fold CV,30,9.733756774303242,11.728922648682799,0.9083568597912737
